album_id,album_name,release_date,total_tracks,url,album_old
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm,2237
3oEqMQVxXfn2jGRaauU2iv,Long Way Down,2013-09-17,13,https://open.spotify.com/album/3oEqMQVxXfn2jGRaauU2iv,3878
28ZKQMoNBB0etKXZ97G2SN,Beauty Behind The Madness,2015-08-28,14,https://open.spotify.com/album/28ZKQMoNBB0etKXZ97G2SN,3168
2sRnJq6dfXdqhIflBk0ve1,All the Little Lights,2012-06-29,16,https://open.spotify.com/album/2sRnJq6dfXdqhIflBk0ve1,4323
5VdyJkLe3yvOs0l4xXbWp0,17,2017-08-25,11,https://open.spotify.com/album/5VdyJkLe3yvOs0l4xXbWp0,2440
4eLPsYPBmXABThSJ821sqY,DAMN.,2017-04-14,14,https://open.spotify.com/album/4eLPsYPBmXABThSJ821sqY,2573
6htgf3qv7vGcsdxLCDxKp8,Night Visions,2012-09-04,12,https://open.spotify.com/album/6htgf3qv7vGcsdxLCDxKp8,4256
7GEzhoTiqcPYkOprWQu581,One Kiss (with Dua Lipa),2018-04-06,1,https://open.spotify.com/album/7GEzhoTiqcPYkOprWQu581,2216
733e1ZfktLSwj96X5rsMeE,Luv Is Rage 2,2017-08-25,16,https://open.spotify.com/album/733e1ZfktLSwj96X5rsMeE,2440
6s84u2TUpR3wdUv4NgKA2j,SOUR,2021-05-21,11,https://open.spotify.com/album/6s84u2TUpR3wdUv4NgKA2j,1075
6ZG5lRT77aJ3btmArcykra,Parachutes,2000-07-10,10,https://open.spotify.com/album/6ZG5lRT77aJ3btmArcykra,8695
7viNUmZZ8ztn2UB4XB3jIL,2014 Forest Hills Drive,2014-12-09,13,https://open.spotify.com/album/7viNUmZZ8ztn2UB4XB3jIL,3430
6s84u2TUpR3wdUv4NgKA2j,SOUR,2021-05-21,11,https://open.spotify.com/album/6s84u2TUpR3wdUv4NgKA2j,1075
5qENHeCSlwWpEzb25peRmQ,Curtain Call: The Hits (Deluxe Edition),2005-12-06,24,https://open.spotify.com/album/5qENHeCSlwWpEzb25peRmQ,6720
41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,17,https://open.spotify.com/album/41GuZcammIkupMPKH2OJ6I,2097
2AJaA0is5qbaqFy77tPl7B,Illuminate (Deluxe),2016-09-23,15,https://open.spotify.com/album/2AJaA0is5qbaqFy77tPl7B,2776
78EicdHZr5XBWD7llEZ1Jh,Happier,2018-08-17,1,https://open.spotify.com/album/78EicdHZr5XBWD7llEZ1Jh,2083
01sfgrNbnnPUEyz6GZYlt9,Dua Lipa (Deluxe),2017-06-02,17,https://open.spotify.com/album/01sfgrNbnnPUEyz6GZYlt9,2524
5bU1XKYxHhEwukllT20xtk,AM,2013-09-09,12,https://open.spotify.com/album/5bU1XKYxHhEwukllT20xtk,3886
02sEJTj1sye1JaqxqpcSCp,Encore,2016-08-05,14,https://open.spotify.com/album/02sEJTj1sye1JaqxqpcSCp,2825
4AdZV63ycxFLF6Hcol0QnB,Starboy,2016-11-24,18,https://open.spotify.com/album/4AdZV63ycxFLF6Hcol0QnB,2714
2vD3zSQr8hNlg0obNel4TE,Camila,2018-01-12,11,https://open.spotify.com/album/2vD3zSQr8hNlg0obNel4TE,2300
4undIeGmofnAYKhnDclN1w,Hot Fuss,2004-06-15,11,https://open.spotify.com/album/4undIeGmofnAYKhnDclN1w,7259
5lKlFlReHOLShQKyRv6AL9,Future Nostalgia,2020-03-27,13,https://open.spotify.com/album/5lKlFlReHOLShQKyRv6AL9,1495
6Fr2rQkZ383FcMqFyT7yPr,Purpose (Deluxe),2015-11-13,19,https://open.spotify.com/album/6Fr2rQkZ383FcMqFyT7yPr,3091
08jWgM4vSkTose4blKBWov,In The Lonely Hour,2014-05-26,10,https://open.spotify.com/album/08jWgM4vSkTose4blKBWov,3627
68enXe5XcJdciSDAZr0Alr,Manic,2020-01-17,16,https://open.spotify.com/album/68enXe5XcJdciSDAZr0Alr,1565
3XftSbguntyRTBQaGItmfK,The Thrill Of It All (Special Edition),2017-11-03,14,https://open.spotify.com/album/3XftSbguntyRTBQaGItmfK,2370
6pOiDiuDQqrmo5DbG0ZubR,MONTERO,2021-09-17,15,https://open.spotify.com/album/6pOiDiuDQqrmo5DbG0ZubR,956
4DOcG4A40Wf3q2vPNGQwQg,Peace Is The Mission,2015-06-01,9,https://open.spotify.com/album/4DOcG4A40Wf3q2vPNGQwQg,3256
2cWBwpqMsDJC1ZUwz813lo,The Eminem Show,2002-05-26,20,https://open.spotify.com/album/2cWBwpqMsDJC1ZUwz813lo,8010
6pOiDiuDQqrmo5DbG0ZubR,MONTERO,2021-09-17,15,https://open.spotify.com/album/6pOiDiuDQqrmo5DbG0ZubR,956
5s0rmjP8XOPhP6HhqOhuyC,Stoney (Deluxe),2016-12-09,18,https://open.spotify.com/album/5s0rmjP8XOPhP6HhqOhuyC,2699
1pCA38N6MkLlthXtAOvZTU,JORDI (Deluxe),2021-06-11,14,https://open.spotify.com/album/1pCA38N6MkLlthXtAOvZTU,1054
