artist_id,artist_name,external_url
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,https://api.spotify.com/v1/artists/4GNC7GD6oZMSxPGyXy4MNB
246dkjvS1zLTtiykXe5h60,Post Malone,https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,https://api.spotify.com/v1/artists/1zNqQNIdeOUZHb8zbZRFMX
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,https://api.spotify.com/v1/artists/4tZwfgrHOc3mvqYlEYSvVi
6KImCVD70vtIoJWnq6nGn3,Harry Styles,https://api.spotify.com/v1/artists/6KImCVD70vtIoJWnq6nGn3
2NjfBq1NflQcKSeiDooVjY,Tones And I,https://api.spotify.com/v1/artists/2NjfBq1NflQcKSeiDooVjY
3TVXtAsR1Inumwj472S9r4,Drake,https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4
3tVQdUvClmAT7URs9V3rsp,Wizkid,https://api.spotify.com/v1/artists/3tVQdUvClmAT7URs9V3rsp
77DAFfvm3O9zT5dIoG0eIO,Kyla,https://api.spotify.com/v1/artists/77DAFfvm3O9zT5dIoG0eIO
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,https://api.spotify.com/v1/artists/2tIP7SsRs7vjIcLrU85W8J
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s
1URnnhqYAYcrqrcwql10ft,21 Savage,https://api.spotify.com/v1/artists/1URnnhqYAYcrqrcwql10ft
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,https://api.spotify.com/v1/artists/53XhwfbYqKCa1cC15pYq2q
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,https://api.spotify.com/v1/artists/4yvcSjfu4PC0CYQyLy4wSq
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,https://api.spotify.com/v1/artists/69GGBxA162lTqCwzJG5jLp
26VFTg2z8YR0cCuwLzESi2,Halsey,https://api.spotify.com/v1/artists/26VFTg2z8YR0cCuwLzESi2
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,https://api.spotify.com/v1/artists/77SW9BnxLY8rJ0RciFqkHh
4IWBUUAFIplrNtaOHcJPRM,James Arthur,https://api.spotify.com/v1/artists/4IWBUUAFIplrNtaOHcJPRM
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH
6LuN9FCkKOj5PcnpouEgny,Khalid,https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,https://api.spotify.com/v1/artists/7n2wHs1TKAczGzO7Dd2rGr
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,https://api.spotify.com/v1/artists/4nDoRrQiYLoBzwC5BhVJzF
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,https://api.spotify.com/v1/artists/6M2wZ9GZgrQXHCFfjv46we
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,https://api.spotify.com/v1/artists/4MCBfE4596Uoi2O4DtmEMz
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU
1dfeR4HaWDbWqFHLkxsg1d,Queen,https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d
2FXC3k01G6Gw61bmprjgqS,Hozier,https://api.spotify.com/v1/artists/2FXC3k01G6Gw61bmprjgqS
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms
4VIvfOurcf0vuLRxLkGnIG,Bradley Cooper,https://api.spotify.com/v1/artists/4VIvfOurcf0vuLRxLkGnIG
10exVja0key0uqUkk6LJRT,Vance Joy,https://api.spotify.com/v1/artists/10exVja0key0uqUkk6LJRT
