,name,duration_ms,popularity
0,"One Of The Girls (with JENNIE, Lily Rose Depp)",244684,86
1,Popular (with Playboi Carti & Madonna),215466,85
2,Starboy,230453,91
3,Blinding Lights,200040,90
4,Die For You,260253,87
5,Stargirl Interlude,111626,85
6,Save Your Tears,215626,87
7,Creepin' (with The Weeknd & 21 Savage),221520,87
8,The Hills,242253,86
9,Young Metro,205346,86
