,album_id,album_name,release_date,total_tracks,url,album_old
475,0nayxjaX54Frd7GsZq6Pbs,Rave & Roses Ultra,2023-04-27,22,https://open.spotify.com/album/0nayxjaX54Frd7GsZq6Pbs,348
476,3xIwVbGJuAcovYIhzbLO3J,Toosie Slide,2020-04-03,1,https://open.spotify.com/album/3xIwVbGJuAcovYIhzbLO3J,1467
477,66OYt73mqan1hWa78BhfPd,LALISA,2021-09-10,2,https://open.spotify.com/album/66OYt73mqan1hWa78BhfPd,942
478,3okhA6w5uau6ZNhnVpwVww,Indigo (Extended),2019-10-04,42,https://open.spotify.com/album/3okhA6w5uau6ZNhnVpwVww,1649
479,2eV6DIPDnGl1idcjww6xyX,This Is Acting (Deluxe Version),2016-10-21,19,https://open.spotify.com/album/2eV6DIPDnGl1idcjww6xyX,2727
480,5658aM19fA3JVwTK6eQX70,Divinely Uninspired To A Hellish Extent,2019-05-17,12,https://open.spotify.com/album/5658aM19fA3JVwTK6eQX70,1789
481,0G1ffjfFuTUTVjDrVdLimH,Views,2016-05-13,20,https://open.spotify.com/album/0G1ffjfFuTUTVjDrVdLimH,2888
482,5EEkfRgfYHiFu0lGur6Z6M,COSMIC,2018-04-12,16,https://open.spotify.com/album/5EEkfRgfYHiFu0lGur6Z6M,2189
483,17a7gzqcZt6SjXRQVoXN6M,Did You Hear the Rain?,2013-11-03,4,https://open.spotify.com/album/17a7gzqcZt6SjXRQVoXN6M,3810
484,6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,15,https://open.spotify.com/album/6DEjYFkNZh67HP7R9PSZvv,2342
485,3N7eWDCvfWv34xWNohdHjO,Back To You (From 13 Reasons Why – Season 2 Soundtrack),2018-05-10,1,https://open.spotify.com/album/3N7eWDCvfWv34xWNohdHjO,2161
486,6deiaArbeoqp1xPEGdEKp1,By the Way (Deluxe Edition),2002-07-09,18,https://open.spotify.com/album/6deiaArbeoqp1xPEGdEKp1,7945
487,48dH5WaD1L379zPQt6LMDD,Star Shopping,2015-01-01,1,https://open.spotify.com/album/48dH5WaD1L379zPQt6LMDD,3386
488,0BHa0ePkvGAVKymB4FU58m,Infest,2001-04-25,13,https://open.spotify.com/album/0BHa0ePkvGAVKymB4FU58m,8385
489,5XqEf16OrHdmMoNS1b6WDg,Greatest Hits,2007-03-05,17,https://open.spotify.com/album/5XqEf16OrHdmMoNS1b6WDg,6245
490,1zHR48K6XtWYm6bhrw4J6C,TAKE TIME,2020-03-27,8,https://open.spotify.com/album/1zHR48K6XtWYm6bhrw4J6C,1474
491,2yboV2QBcVGEhcRlYuPpDT,Loose,2006-01-01,17,https://open.spotify.com/album/2yboV2QBcVGEhcRlYuPpDT,6673
492,5xrOcCoO3jkXRjHQjfESM6,Mad Love The Prequel,2018-06-29,9,https://open.spotify.com/album/5xrOcCoO3jkXRjHQjfESM6,2111
493,59ULskOkBMij4zL8pS7mi0,19,2008-01-28,12,https://open.spotify.com/album/59ULskOkBMij4zL8pS7mi0,5916
494,5n1GSzC1Reao29ScnpLYqp,Dying to Live,2018-12-14,16,https://open.spotify.com/album/5n1GSzC1Reao29ScnpLYqp,1943
495,3tx8gQqWbGwqIGZHqDNrGe,Sweetener,2018-08-17,15,https://open.spotify.com/album/3tx8gQqWbGwqIGZHqDNrGe,2062
496,6oxVabMIqCMJRYN1GqR3Vf,Dangerously In Love,2003-06-24,15,https://open.spotify.com/album/6oxVabMIqCMJRYN1GqR3Vf,7595
497,3vOgbDjgsZBAPwV2M3bNOj,The Marshall Mathers LP2,2013-11-05,16,https://open.spotify.com/album/3vOgbDjgsZBAPwV2M3bNOj,3808
498,1yOcLa4euMk9sV7rRJ89Dl,Is There Anybody Out There?,2014-01-20,13,https://open.spotify.com/album/1yOcLa4euMk9sV7rRJ89Dl,3732
499,3jB9yFDwRe3KhtGnHXJntk,PRISM,2013-01-01,13,https://open.spotify.com/album/3jB9yFDwRe3KhtGnHXJntk,4116
500,6fpLLJsDSSAlToEDW2jv4F,Animal (Expanded Edition),2010-01-01,18,https://open.spotify.com/album/6fpLLJsDSSAlToEDW2jv4F,5212
501,5W98Ab4VvQEuFEE4TIe5fE,Title (Deluxe),2015-01-09,15,https://open.spotify.com/album/5W98Ab4VvQEuFEE4TIe5fE,3378
502,72qrnM4yUNMDDlWiqKc8iY,Aftermath,1966-04-15,11,https://open.spotify.com/album/72qrnM4yUNMDDlWiqKc8iY,21179
503,1Bwo9JkbVwxGyvtQNMRK21,No Need To Argue (The Complete Sessions 1994-1995),1994-10-03,18,https://open.spotify.com/album/1Bwo9JkbVwxGyvtQNMRK21,10781
504,5sEpXan86hEcM8eZSAoWhw,Platonicos,2020-06-12,12,https://open.spotify.com/album/5sEpXan86hEcM8eZSAoWhw,1397
505,02w1xMzzdF2OJxTeh1basm,Fallen,2003-03-04,12,https://open.spotify.com/album/02w1xMzzdF2OJxTeh1basm,7707
506,48zisMeiXniWLzOQghbPqS,Motion,2014-10-31,15,https://open.spotify.com/album/48zisMeiXniWLzOQghbPqS,3448
507,4hYYpUC8Ewb74tP23Y1lmM,MIDDLE OF THE NIGHT,2020-01-10,1,https://open.spotify.com/album/4hYYpUC8Ewb74tP23Y1lmM,1551
508,7p2aWivr9OLXocSTTKtG9B,St. Elsewhere,2006-05-02,16,https://open.spotify.com/album/7p2aWivr9OLXocSTTKtG9B,6552
509,0kBfgEilUFCMIQY5IOjG4t,Slippery When Wet,1986-08-16,10,https://open.spotify.com/album/0kBfgEilUFCMIQY5IOjG4t,13751
510,6s84u2TUpR3wdUv4NgKA2j,SOUR,2021-05-21,11,https://open.spotify.com/album/6s84u2TUpR3wdUv4NgKA2j,1054
511,7naY6j4wcgUxfHB98G79CW,I AM YOU,2018-08-03,15,https://open.spotify.com/album/7naY6j4wcgUxfHB98G79CW,2076
512,0wfne2JijoxJm0qzJd3V5h,ARDIPITHECUS,2015-01-11,15,https://open.spotify.com/album/0wfne2JijoxJm0qzJd3V5h,3376
513,1FvdZ1oizXwF9bxogujoF0,She's So Unusual,1983-10-14,10,https://open.spotify.com/album/1FvdZ1oizXwF9bxogujoF0,14788
514,34wa3zf2prXFMk47t9zHFG,Merry Christmas From Brenda Lee,1964-10-19,12,https://open.spotify.com/album/34wa3zf2prXFMk47t9zHFG,21722
515,27MNgBEnLCKoafz1g2Zu97,Santa Tell Me,2014-11-24,1,https://open.spotify.com/album/27MNgBEnLCKoafz1g2Zu97,3424
516,71HM1CMYWeZzws8pyiEn46,The Predator,1992-11-17,16,https://open.spotify.com/album/71HM1CMYWeZzws8pyiEn46,11466
517,30ly6F6Xl0TKmyBCU50Khv,The Colour And The Shape,1997-05-20,14,https://open.spotify.com/album/30ly6F6Xl0TKmyBCU50Khv,9821
518,2ANVost0y2y52ema1E9xAZ,Thriller,1982-11-30,9,https://open.spotify.com/album/2ANVost0y2y52ema1E9xAZ,15106
